group,kind,dataset,sample,source,frame_index,video_seconds,selection_score,crop_xywh,image
vslam_0706,vslam,VSLAM-44,1,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,405,5.671,487.2601,"[240, 2, 1440, 356]",.work/frames/vslam_0706/VSLAM-44/frame_01.png
vslam_0706,vslam,VSLAM-44,2,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,1004,14.057,407.6165,"[240, 2, 1440, 356]",.work/frames/vslam_0706/VSLAM-44/frame_02.png
vslam_0706,vslam,VSLAM-44,3,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,1261,17.656,484.0263,"[240, 2, 1440, 356]",.work/frames/vslam_0706/VSLAM-44/frame_03.png
vslam_0706,vslam,VSLAM-44,4,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,1808,25.314,494.7977,"[240, 2, 1440, 356]",.work/frames/vslam_0706/VSLAM-44/frame_04.png
vslam_0706,vslam,VSLAM-44,5,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,2082,29.151,514.2504,"[240, 2, 1440, 356]",.work/frames/vslam_0706/VSLAM-44/frame_05.png
vslam_0706,vslam,VSLAM-44,6,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,2868,40.156,447.8523,"[240, 2, 1440, 356]",.work/frames/vslam_0706/VSLAM-44/frame_06.png
vslam_0706,vslam,VSLAM-55,1,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,559,7.827,292.3703,"[240, 362, 1440, 356]",.work/frames/vslam_0706/VSLAM-55/frame_01.png
vslam_0706,vslam,VSLAM-55,2,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,816,11.425,329.2536,"[240, 362, 1440, 356]",.work/frames/vslam_0706/VSLAM-55/frame_02.png
vslam_0706,vslam,VSLAM-55,3,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,1466,20.526,315.1517,"[240, 362, 1440, 356]",.work/frames/vslam_0706/VSLAM-55/frame_03.png
vslam_0706,vslam,VSLAM-55,4,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,1859,26.028,363.0978,"[240, 362, 1440, 356]",.work/frames/vslam_0706/VSLAM-55/frame_04.png
vslam_0706,vslam,VSLAM-55,5,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,2355,32.973,385.055,"[240, 362, 1440, 356]",.work/frames/vslam_0706/VSLAM-55/frame_05.png
vslam_0706,vslam,VSLAM-55,6,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,2800,39.204,339.4781,"[240, 362, 1440, 356]",.work/frames/vslam_0706/VSLAM-55/frame_06.png
vslam_0706,vslam,VSLAM-66,1,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,422,5.909,572.4288,"[240, 722, 1440, 356]",.work/frames/vslam_0706/VSLAM-66/frame_01.png
vslam_0706,vslam,VSLAM-66,2,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,645,9.031,500.7282,"[240, 722, 1440, 356]",.work/frames/vslam_0706/VSLAM-66/frame_02.png
vslam_0706,vslam,VSLAM-66,3,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,1124,15.737,496.4472,"[240, 722, 1440, 356]",.work/frames/vslam_0706/VSLAM-66/frame_03.png
vslam_0706,vslam,VSLAM-66,4,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,1808,25.314,910.915,"[240, 722, 1440, 356]",.work/frames/vslam_0706/VSLAM-66/frame_04.png
vslam_0706,vslam,VSLAM-66,5,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,2458,34.415,948.0287,"[240, 722, 1440, 356]",.work/frames/vslam_0706/VSLAM-66/frame_05.png
vslam_0706,vslam,VSLAM-66,6,0706_456_ORB_incremental_VSLAM_66_video2_strict_sync.mp4,2732,38.252,859.2041,"[240, 722, 1440, 356]",.work/frames/vslam_0706/VSLAM-66/frame_06.png
